Rotational speed [rpm],Process temperature [K],Torque [Nm],Tool wear [min]
1379,308.4,43.1,65
1606,308.5,33.6,67
1539,308.4,43.4,69
1477,308.4,49.9,72
1666,308.4,34.6,74
1398,308.4,51.8,76
1678,308.4,34.6,81
1453,308.5,42.9,89
1432,308.6,49.5,91
1527,308.6,40.9,96
1588,308.7,35.0,99
1433,308.6,47.1,101
1609,308.6,35.0,103
1575,308.5,41.2,105
1636,308.5,35.7,107
1490,308.5,37.9,110
1741,308.5,32.8,112
1344,308.6,53.0,114
1609,308.7,35.3,117
1591,308.6,36.7,122
1477,308.6,44.0,124
1523,308.7,36.1,126
1575,308.7,33.9,128
1344,308.7,52.9,130
1386,308.7,44.9,135
1589,308.6,37.1,137
1548,308.6,40.3,140
1499,308.6,38.3,142
1664,308.5,31.6,144
1447,308.6,38.1,146
1434,308.5,46.2,148
1416,308.5,52.7,151
1827,308.5,24.3,153
1304,308.6,45.0,158
1569,308.6,34.4,160
1584,308.6,29.3,162
1362,308.5,53.8,164
1329,308.4,49.2,166
1539,308.5,36.1,168
1629,308.5,37.1,170
1538,308.5,32.2,173
1570,308.6,34.8,175
1408,308.4,43.1,177
1424,308.4,47.6,179
1512,308.4,34.9,181
1478,308.4,42.9,183
1680,308.3,33.7,185
1495,308.3,38.7,188
1552,308.1,36.6,190
1393,308.1,50.3,193
1611,308.2,30.6,195
1339,308.1,51.6,197
1777,308.1,24.3,200
1442,308.2,44.1,204
1395,308.2,49.1,206
1627,308.1,31.4,209
1585,308.1,33.5,212
1469,308.2,45.5,214
1662,308.3,32.7,0
1466,308.2,42.6,2
1620,308.2,35.8,5
1357,308.2,48.2,7
1514,308.2,37.9,9
1489,308.2,40.4,11
1331,308.3,63.0,13
1615,308.0,29.5,15
1482,308.2,37.9,17
1522,308.3,49.1,22
1654,308.2,32.1,25
1736,308.2,26.8,27
1587,308.1,32.3,30
1390,308.2,47.5,33
1454,308.1,37.1,35
1440,308.1,43.7,37
1954,308.0,21.1,42
1800,308.0,24.8,44
1524,308.0,37.0,49
1520,308.0,39.6,51
1452,308.1,40.8,56
1484,308.1,40.4,59
1426,308.0,46.0,61
1652,308.0,28.5,63
1401,308.0,54.7,65
1750,307.9,26.6,67
1479,308.0,50.7,70
1620,308.0,29.4,75
1819,308.1,23.4,78
1456,308.1,43.7,80
1626,308.0,36.5,83
1390,308.1,49.8,85
1469,308.2,43.0,88
2051,308.3,19.2,90
1568,308.3,36.0,92
1589,308.3,33.2,94
1805,308.3,31.6,96
1385,308.4,42.2,98
1436,308.4,46.7,103
1438,308.4,45.6,105
1473,308.3,42.6,107
1335,308.4,40.2,109
1392,308.5,44.8,111
1372,308.5,51.1,116
1716,308.6,30.7,119
1395,308.5,46.2,122
1713,308.5,25.3,124
2129,308.5,18.7,126
1567,308.3,35.6,131
1622,308.4,38.3,134
1740,308.4,27.1,136
1512,308.4,35.1,138
1479,308.4,43.5,143
1737,308.4,27.5,146
2129,308.4,19.2,148
1374,308.4,47.1,150
1579,308.4,36.6,152
1305,308.5,47.2,155
1449,308.5,40.8,157
1526,308.6,41.8,160
1453,308.6,44.1,165
1468,308.6,36.0,168
1313,308.6,50.8,170
1300,308.5,53.0,172
1646,308.4,40.6,175
1714,308.4,33.2,177
1685,308.4,28.4,179
1512,308.4,39.9,181
1612,308.4,32.1,183
1550,308.4,38.2,185
1518,308.4,32.5,190
1448,308.5,40.0,192
1561,308.5,46.3,194
1488,308.5,41.9,196
1699,308.5,27.8,199
1501,308.5,41.4,201
1703,308.4,31.4,205
1720,308.5,29.9,210
1398,308.4,41.9,215
1391,308.4,51.9,218
1538,308.3,40.2,0
1647,308.2,31.3,3
1469,308.1,44.8,5
1749,308.1,25.9,8
1995,308.2,20.5,10
1742,308.3,27.7,13
1563,308.2,38.2,15
1713,308.2,32.2,17
1474,308.1,39.4,20
1530,308.2,32.6,22
1471,308.2,46.5,25
1388,308.3,48.6,27
2448,308.2,13.8,29
1585,308.3,32.9,32
1459,308.3,45.2,34
1544,308.3,40.8,37
1617,308.3,31.7,39
1595,308.3,34.3,41
1400,308.3,44.3,43
1611,308.4,31.0,48
1507,308.4,46.0,51
1674,308.3,30.0,54
1658,308.3,34.3,59
1623,308.3,36.9,61
1398,308.4,48.9,63
1517,308.4,34.2,66
1467,308.3,36.7,68
1567,308.3,34.6,71
1521,308.3,38.2,74
1596,308.3,36.8,77
1640,308.3,30.9,79
1438,308.3,47.8,84
1407,308.4,55.2,86
1353,308.4,57.5,88
1552,308.5,40.9,90
1569,308.4,38.3,93
1489,308.4,39.5,96
1587,308.4,36.1,98
1622,308.3,37.2,103
1604,308.4,38.1,106
1405,308.3,51.7,108
1412,308.3,42.0,111
1431,308.3,43.0,113
1533,308.2,37.4,115
1401,308.2,51.9,117
1424,308.2,53.9,120
1754,308.2,29.4,123
1754,308.2,26.8,125
1546,308.5,40.4,129
1335,308.5,48.0,131
1842,308.6,27.0,133
1712,308.5,26.8,136
1414,308.6,45.4,138
1319,308.7,50.9,141
1249,308.7,60.4,143
1455,308.7,48.2,145
1408,308.7,54.8,147
1460,308.7,46.7,150
1491,308.6,38.1,152
1490,308.5,43.4,154
1350,308.4,52.2,157
1528,308.4,39.9,160
1571,308.3,37.7,162
1490,308.3,42.6,164
1774,308.3,28.9,166
1502,308.3,43.6,169
1392,308.4,49.7,174
2100,308.5,16.9,176
1722,308.5,30.4,178
1678,308.6,32.3,180
1273,308.6,59.8,182
1297,308.6,45.9,184
1350,308.5,57.6,186
1439,308.6,51.9,188
1600,308.5,42.1,190
1434,308.6,44.4,193
1459,308.6,41.3,196
1472,308.6,44.9,198
1429,308.7,44.3,201
1388,308.6,48.2,203
1573,308.4,34.5,205
1588,308.4,32.5,207
1511,308.4,42.8,209
1495,308.5,37.8,211
1394,308.4,50.1,213
2151,308.4,17.7,0
1501,308.3,38.2,2
1301,308.3,39.6,5
1657,308.3,31.1,8
1333,308.3,55.2,11
1484,308.3,43.9,13
1430,308.4,45.7,15
1665,308.4,28.9,17
1501,308.5,44.9,20
1496,308.5,42.2,22
1595,308.6,36.9,25
1208,308.6,62.3,28
1596,308.6,37.1,30
1446,308.5,41.9,32
1466,308.5,39.7,34
1848,308.5,23.7,37
1484,308.5,44.7,40
1493,308.3,41.2,43
1504,308.3,36.3,45
1538,308.3,38.5,47
1341,308.4,52.2,49
1535,308.3,34.6,51
1389,308.5,39.2,54
1393,308.5,46.6,56
1469,308.5,45.1,63
1582,308.4,37.2,68
1793,308.6,26.7,70
1452,308.6,39.0,72
1376,308.7,59.9,74
1552,308.6,44.9,77
1622,308.7,37.9,79
1419,308.7,41.7,81
1440,308.6,46.1,84
1643,308.6,31.0,89
1510,308.7,36.2,92
1468,308.7,46.6,94
1429,308.7,57.4,96
1478,308.7,47.6,98
1276,308.6,53.6,103
1486,308.6,42.6,105
1476,308.6,42.3,107
1431,308.6,42.0,109
1402,308.7,40.2,114
1433,308.7,43.4,116
1511,308.6,35.7,120
1456,308.6,42.9,122
1550,308.5,41.5,125
2182,308.5,16.5,127
1619,308.7,31.6,129
1586,308.8,32.7,131
1499,308.8,44.2,134
1419,308.8,42.4,139
1497,309.0,41.8,144
1520,309.0,37.0,147
1478,309.1,49.8,150
1380,309.1,41.1,152
1570,309.0,37.9,154
1468,309.0,41.4,156
1833,309.0,22.6,161
1323,308.9,57.3,163
1583,309.0,32.0,166
1556,309.0,39.5,168
1548,309.0,37.4,171
1324,309.0,56.9,173
1568,309.0,33.7,175
1685,309.0,30.7,177
1582,309.1,35.9,180
1463,309.1,35.0,183
1584,309.2,42.8,186
1347,309.2,55.8,188
1459,309.2,37.9,191
1420,309.2,45.6,193
1404,309.3,43.5,195
1470,309.3,38.8,197
1326,309.4,49.8,199
1459,309.3,49.7,201
1530,309.2,40.0,206
1505,309.0,39.2,209
1611,309.1,30.2,211
1515,309.1,35.1,213
1804,309.2,27.4,215
1464,309.3,46.2,218
1390,309.2,43.3,221
1442,309.2,48.1,0
1529,309.3,41.9,3
1610,309.3,35.0,6
1543,309.3,34.3,8
1445,309.4,48.2,10
1893,309.3,24.6,15
1415,309.3,41.3,17
1564,309.3,37.5,20
1479,309.3,39.4,22
1426,309.2,44.8,24
1428,309.2,38.8,26
1620,309.2,33.2,28
1715,309.2,28.0,30
1732,309.3,29.9,32
1391,309.4,58.2,34
1924,309.5,20.6,37
2027,309.5,19.8,39
1617,309.5,36.2,42
1497,309.4,35.8,44
1448,309.5,43.7,46
1401,309.4,45.9,49
1620,309.4,35.4,51
1466,309.4,45.5,53
1373,309.5,50.6,55
1592,309.6,35.8,57
1553,309.5,42.4,60
1569,309.5,36.2,63
1709,309.5,32.2,65
1549,309.5,34.9,68
1443,309.4,45.4,70
1675,309.3,29.8,72
1623,309.3,33.4,74
1365,309.3,52.4,76
1759,309.3,24.8,81
1516,309.3,43.0,83
1499,309.3,36.8,88
1775,309.3,25.8,91
1473,309.4,45.5,94
1296,309.4,52.3,96
1803,309.4,24.7,98
1563,309.3,36.1,100
1831,309.4,26.6,105
1958,309.4,22.1,108
1809,309.4,24.3,110
1482,309.4,39.3,112
1332,309.3,53.2,115
1437,309.2,40.4,117
1698,309.2,29.4,119
1274,309.2,54.3,121
1622,309.3,35.0,123
1564,309.3,36.0,126
1368,309.4,45.3,129
1539,309.4,42.2,134
1357,309.4,50.1,137
1433,309.4,48.3,139
1650,309.4,34.6,142
1503,309.4,40.6,144
1318,309.4,58.2,146
1678,309.4,34.4,148
1574,309.5,30.9,151
1529,309.6,35.2,153
1669,309.6,32.1,155
1570,309.7,35.8,160
1541,309.7,33.7,165
1680,309.7,30.2,168
1935,309.7,22.1,171
1596,309.6,35.2,173
1498,309.7,41.0,176
1676,309.8,29.0,178
1351,309.9,49.0,181
1472,309.9,45.0,183
1439,310.0,41.7,185
1410,309.9,55.4,188
1440,309.7,51.1,191
1591,309.7,37.7,196
1533,309.8,36.8,198
1700,309.7,31.3,200
1798,309.8,25.5,203
1394,309.7,42.9,206
1341,309.7,49.2,208
1697,309.6,32.2,210
1419,309.6,48.2,215
2001,309.5,20.5,220
1623,309.5,33.1,224
1628,309.4,33.4,229
1491,309.4,40.2,231
1517,309.4,36.7,233
1525,309.3,41.7,235
1668,309.5,27.9,240
1312,309.6,50.7,0
1278,309.6,50.4,2
1330,309.6,53.1,7
1530,309.6,37.3,10
1428,309.6,46.6,13
1480,309.6,47.9,18
1616,309.7,31.1,20
1547,309.7,37.3,25
2194,309.7,16.8,27
2000,309.8,21.3,29
1542,309.9,33.8,33
1693,309.8,29.9,35
1461,309.8,50.5,38
1565,309.9,33.9,40
1403,309.9,47.7,43
1629,309.9,32.5,45
1534,310.0,33.7,47
1553,310.0,40.9,49
1563,309.9,32.8,51
1634,309.9,30.0,53
1445,309.9,45.2,55
1642,309.9,30.4,58
1686,309.9,29.1,60
1393,310.0,43.1,65
1433,310.0,44.2,68
1507,310.0,44.7,73
1389,310.1,49.6,75
1408,310.1,45.3,78
1725,310.2,32.0,80
1926,310.1,23.7,83
1509,310.1,37.6,85
1545,310.1,36.3,90
1533,310.1,35.2,92
1455,310.1,42.2,94
1335,310.1,57.8,96
1523,310.1,45.9,99
1460,310.0,47.6,101
1554,310.0,37.3,103
1419,310.0,47.1,105
1442,310.0,43.9,110
1507,309.9,41.6,112
1858,310.0,23.9,114
1463,309.9,43.9,116
1585,309.7,37.4,118
1536,309.6,37.3,120
1403,309.6,51.3,122
1515,309.6,38.8,124
1390,309.5,47.9,127
1226,309.4,58.7,129
1495,309.4,36.5,132
1608,309.4,30.2,135
1392,309.4,44.1,140
1461,309.4,43.7,142
1559,309.3,36.9,145
1400,309.3,48.9,147
1732,309.2,28.8,152
1611,309.2,33.1,155
1503,309.1,38.9,157
1391,309.2,44.5,159
2015,309.3,20.1,161
1683,309.2,30.9,163
1435,309.1,38.8,165
1732,309.1,28.1,167
1365,309.2,58.6,170
1562,309.1,36.8,172
1449,309.1,49.1,174
1700,309.2,27.4,176
1427,309.0,45.6,179
1479,308.9,38.1,182
1469,308.9,44.0,185
1390,308.9,47.4,187
1729,308.9,28.1,189
1470,309.0,43.5,191
1459,308.9,48.5,193
1738,308.9,24.0,195
1471,308.9,37.7,197
1822,309.0,25.4,202
1554,308.9,34.8,204
1433,308.9,43.2,206
1449,308.9,47.7,209
1456,309.0,41.2,0
1424,309.1,45.5,2
1577,309.2,34.7,5
1478,309.2,39.7,10
1295,309.2,61.2,12
1372,309.2,47.3,15
1432,309.1,42.6,17
1656,309.0,33.2,20
1410,309.0,48.8,23
1874,309.0,24.4,28
1538,309.0,43.2,30
1636,309.0,29.7,32
1504,309.0,40.4,35
1531,309.0,42.4,38
1735,309.0,26.4,41
1354,309.0,55.6,46
1413,309.0,40.2,51
1563,309.1,39.3,56
1479,309.1,42.1,58
1477,309.1,38.3,60
1394,309.1,50.0,62
1487,309.0,45.4,64
1815,309.0,25.3,66
1453,308.8,39.7,69
1539,308.8,40.2,72
1416,308.7,39.2,74
1683,308.8,31.6,79
1515,308.8,40.1,82
1531,308.9,48.3,84
1479,308.9,40.9,87
1516,308.9,33.7,92
1507,309.0,38.2,94
1434,309.0,43.3,96
1838,308.9,27.3,99
1416,308.8,45.9,101
1357,308.8,49.7,104
1697,308.7,28.1,107
1443,308.7,46.2,110
1453,308.7,37.6,112
1439,308.6,46.4,114
1609,308.6,36.2,116
1324,308.6,59.1,118
1420,308.6,45.8,120
1545,308.7,36.9,125
1477,308.8,39.0,127
1447,308.8,58.1,129
1809,308.9,23.8,131
1696,308.9,30.9,133
1427,308.9,44.7,135
1500,308.9,46.3,137
1390,308.9,44.6,140
1640,308.8,34.2,142
1628,308.8,37.4,144
1499,308.6,37.6,147
1425,308.7,50.3,152
1586,308.6,37.7,155
1471,308.6,50.7,157
1431,308.6,53.0,160
1924,308.6,22.1,163
1421,308.4,42.0,165
1305,308.4,54.6,168
1557,308.4,32.4,173
1555,308.3,38.2,175
1474,308.3,39.2,177
1506,308.3,45.9,182
1390,308.4,41.8,184
1450,308.4,46.9,186
1513,308.3,38.8,189
1643,308.2,34.7,191
1361,308.2,53.8,193
1450,308.1,40.9,195
1451,308.0,50.7,197
1356,308.1,48.3,201
1528,308.1,46.3,203
1978,308.0,22.3,208
1535,308.0,36.8,210
1843,308.1,24.2,212
1422,308.1,48.7,215
1536,308.0,40.4,217
1483,308.1,44.3,219
1492,308.1,43.7,222
1584,308.0,40.4,227
1555,308.1,33.7,229
1497,308.0,41.7,231
1537,307.8,36.3,233
1505,307.8,39.4,236
1646,307.8,34.6,238
1286,307.8,60.5,0
1400,307.8,47.5,3
1337,307.9,56.5,5
1332,308.0,53.9,7
1561,308.0,38.3,9
1546,308.0,31.1,11
1713,308.0,29.3,13
1343,308.0,44.5,15
1391,308.0,54.4,17
1311,308.0,58.6,19
1453,308.0,51.0,24
1510,308.0,39.4,29
1448,307.9,48.8,31
1453,307.8,46.0,33
1468,307.8,39.2,35
1382,307.8,47.5,37
1580,308.0,32.2,39
1666,308.0,29.8,41
1409,308.0,50.7,43
1675,308.0,29.7,46
1698,307.9,30.8,48
1579,307.9,33.4,50
1743,307.9,27.9,55
1497,308.0,44.8,57
1741,308.1,28.8,60
1435,308.1,45.3,62
1440,308.1,46.3,64
1641,308.0,33.3,67
1420,307.9,45.4,70
1611,307.9,35.4,72
1373,307.8,42.9,74
1683,307.9,31.8,76
1547,307.9,32.6,79
1605,307.8,37.0,84
2010,307.9,18.9,86
1565,307.7,40.1,89
1828,307.8,24.6,91
1579,307.8,34.1,94
1882,307.9,24.2,97
1285,307.8,52.1,100
1571,307.8,35.0,102
1549,307.8,37.8,104
1544,307.8,37.6,109
1412,307.9,47.4,112
1422,307.9,53.0,115
1867,307.7,22.8,118
1424,307.7,43.3,120
1452,307.6,45.7,122
1550,307.7,39.7,124
1588,307.6,37.6,126
1338,307.6,44.4,128
1513,307.6,40.0,130
1470,307.5,45.9,132
1516,307.5,36.7,135
1434,307.6,48.3,138
1368,307.6,52.0,140
1304,307.6,48.7,142
1398,307.6,46.7,144
1516,307.6,37.4,146
1474,307.6,41.7,148
1547,307.6,34.7,150
1482,307.5,39.9,153
1436,307.4,42.8,156
1474,307.3,40.0,158
1481,307.2,38.2,160
1501,307.3,42.1,162
1566,307.3,37.2,164
1579,307.3,34.5,166
1631,307.4,35.0,168
1544,307.4,42.3,170
1521,307.4,38.6,173
1616,307.4,28.0,175
1333,307.4,50.2,177
1533,307.4,32.5,182
1368,307.4,45.1,185
1465,307.4,47.8,187
1406,307.4,41.5,189
1565,307.4,43.5,194
1582,307.5,37.9,197
1439,307.5,45.5,199
1566,307.5,35.0,201
1485,307.5,42.7,204
1566,307.5,35.1,206
1439,307.3,41.5,208
1416,307.4,50.0,210
1465,307.4,47.1,215
1586,307.4,35.5,0
1567,307.3,31.4,5
1389,307.2,48.6,7
1368,307.3,49.5,10
1444,307.3,49.0,13
1498,307.3,41.6,15
1615,307.2,30.8,18
1898,307.1,22.7,20
1350,307.1,53.3,22
1516,307.0,37.6,25
1542,307.0,40.6,28
1541,306.9,32.6,33
1951,306.9,23.3,38
1645,306.8,31.0,41
1416,306.7,44.2,46
2044,306.7,22.3,48
1414,306.6,50.2,51
1678,306.6,26.7,53
1594,306.5,33.2,55
1514,306.5,37.7,60
1358,306.5,49.2,63
1325,306.4,56.2,65
1339,306.4,53.2,67
1335,306.4,51.7,69
1892,306.4,21.7,72
1575,306.4,28.5,74
1444,306.3,45.5,76
1915,306.3,22.4,79
1584,306.2,33.6,81
1685,306.3,34.9,84
1337,306.3,54.6,87
1464,306.2,46.2,92
1739,306.2,25.9,94
1490,306.3,34.3,97
1356,306.4,48.0,99
1397,306.2,52.0,101
1458,306.2,40.6,103
2161,306.2,16.5,105
1651,306.1,28.1,110
1389,306.1,46.2,113
1370,306.0,52.4,115
1408,306.1,47.9,117
1343,306.1,54.4,119
1423,306.2,42.5,121
1426,306.2,48.6,124
1435,306.2,51.6,126
1573,306.1,35.1,129
1612,306.2,31.2,131
1446,306.2,49.9,133
1329,306.2,55.3,135
1569,306.2,35.1,140
1256,306.1,62.3,142
1383,306.1,48.7,147
1458,306.2,49.8,151
1474,306.1,41.2,156
1462,306.1,49.2,158
1669,306.1,29.0,161
1822,306.1,24.3,164
1456,306.0,39.2,167
1546,306.0,35.9,169
1490,306.1,42.7,171
1569,306.0,40.4,174
1621,306.0,29.5,176
1518,305.9,40.6,178
1526,305.8,38.2,181
1589,305.8,36.2,184
1475,305.7,51.0,187
1473,305.7,38.5,189
1407,305.8,50.7,192
1518,305.9,44.1,194
1593,305.9,37.2,197
1380,305.9,52.4,202
1423,306.0,45.3,205
1800,306.0,27.6,208
1623,306.1,30.9,210
1396,306.0,52.4,0
1949,306.0,21.9,5
1419,306.0,51.1,7
1453,305.9,47.3,9
1542,305.9,36.2,12
1363,306.0,50.0,14
1597,306.0,37.2,16
1326,306.0,50.8,18
1641,306.0,36.6,21
1418,306.1,46.2,24
1263,306.2,61.8,27
1823,306.2,25.8,29
1488,306.1,40.7,31
1443,306.2,48.9,33
1650,306.2,28.2,35
1462,306.3,44.3,37
1477,306.2,45.0,40
1712,306.3,28.5,43
1347,306.3,50.4,46
1287,306.2,54.8,49
1428,306.2,44.5,51
1426,306.3,45.5,53
1636,306.3,32.7,56
1424,306.2,42.5,58
1509,306.3,35.8,60
1448,306.2,48.9,65
1650,306.1,32.8,67
1414,306.2,42.5,69
1911,306.3,20.9,74
1632,306.2,32.2,76
1387,306.4,40.1,81
1399,306.4,47.6,84
1505,306.5,35.2,86
1534,306.5,37.9,88
1493,306.5,40.5,90
1480,306.6,43.2,92
1621,306.6,31.6,95
1737,306.5,26.2,97
1508,306.6,46.5,99
1641,306.5,32.2,101
1532,306.6,38.6,104
1547,306.7,40.9,107
1412,306.6,41.0,109
1568,306.5,35.1,111
1557,306.6,41.1,113
1644,306.6,35.2,115
1679,306.6,30.4,117
1511,306.6,35.2,119
1628,306.6,36.8,121
1392,306.6,51.3,124
1917,306.7,21.0,127
1526,306.8,42.3,129
1389,306.8,53.3,132
1409,306.7,42.8,134
1655,306.8,31.1,136
1516,306.9,39.1,138
1526,306.9,34.9,140
1419,307.1,48.6,142
1748,307.2,25.3,144
1638,307.1,32.5,146
1534,307.1,33.8,151
1774,307.1,25.9,154
2119,307.0,18.3,159
1414,307.0,48.3,162
1523,307.0,42.0,164
1651,307.1,35.7,167
1485,307.1,36.0,169
1168,307.2,63.4,172
1566,307.3,35.8,175
1286,307.2,51.1,177
1446,307.2,45.9,180
2071,307.2,19.4,183
1560,307.1,33.2,186
1654,307.1,29.6,188
1662,307.1,32.9,190
1646,307.2,35.0,192
1444,307.1,46.7,194
1424,307.2,42.0,196
1382,307.2,52.0,201
1413,307.1,53.4,203
1633,307.2,31.1,0
1441,307.1,41.7,3
1385,307.2,44.0,5
1552,307.2,34.8,8
1451,307.3,42.8,11
1433,307.1,38.5,14
1619,307.2,29.7,17
1445,307.2,41.8,20
1356,307.2,43.6,22
1637,307.2,31.6,27
1291,307.2,58.6,29
1398,307.3,52.7,31
1372,307.3,57.7,33
1454,307.2,42.5,35
1515,307.2,36.5,38
1881,307.3,24.3,40
1711,307.3,29.9,42
1475,307.3,37.0,44
1512,307.4,36.8,46
1335,307.4,50.5,48
1472,307.4,39.9,51
1477,307.3,35.2,53
1760,307.4,28.4,56
1549,307.5,36.1,58
1648,307.4,34.0,60
1556,307.5,38.0,62
1958,307.4,19.1,67
1403,307.4,48.4,70
1684,307.5,31.4,72
1596,307.5,35.1,75
1498,307.6,41.1,80
1524,307.7,36.8,82
1502,307.7,43.9,84
1809,307.6,25.1,86
1542,307.6,37.4,88
1431,307.6,45.2,90
1512,307.6,43.6,92
1403,307.5,52.8,94
1331,307.5,47.8,99
1474,307.7,52.6,101
1607,307.6,33.5,104
1415,307.6,44.2,106
1671,307.6,28.8,108
1556,307.7,37.7,110
1927,307.7,23.9,112
1597,307.7,32.1,114
1627,307.8,30.5,117
1480,307.8,39.4,122
1565,307.8,39.5,124
1573,307.8,36.4,126
1605,307.8,31.3,128
1874,307.9,21.3,130
1424,307.9,53.8,133
1420,307.9,50.1,138
1372,307.9,49.0,140
1664,307.8,32.8,142
1409,307.9,44.3,145
1718,307.9,25.2,148
1544,307.8,40.3,150
1466,307.8,45.7,153
1394,307.8,47.7,155
1840,307.8,24.6,157
1477,307.8,37.2,160
1425,307.8,49.1,163
1414,307.9,46.2,165
1414,307.8,47.5,168
1595,307.9,31.7,170
1345,307.8,54.5,172
1653,307.7,35.9,177
1547,307.6,36.5,179
1656,307.7,30.8,181
1731,307.7,28.5,186
1774,307.8,28.0,188
1521,307.8,40.2,190
1420,307.9,39.8,192
1683,307.8,32.3,197
1498,307.7,47.1,199
1455,307.9,49.0,204
1392,307.8,43.9,0
2008,307.7,17.5,3
1464,307.7,41.4,6
1447,307.7,46.4,8
1685,307.6,32.0,10
1443,307.5,39.2,13
1354,307.5,44.4,16
1680,307.6,35.8,20
1397,307.5,48.3,22
